Complexity,Loss,Equation
1,69.13685,"-0.5141304"
3,66.54086,"x / -0.32770774"
4,53.911915,"tan(-0.6267074 - x)"
5,52.031834,"x / (x - 0.9380921)"
6,50.99422,"tan(-0.4764859 / cos(tan(x)))"
7,47.389904,"-1.3464842 - tan(tan(x + -41.001484))"
8,37.546474,"tan(tan(tan(x + -12.681474)) + -5.785975)"
10,34.45768,"tan(-5.7859745 + tan(tan(x + -12.681474))) - x"
11,33.315968,"tan(tan(tan(x + -12.681475)) + -5.7859764) - tan(x)"
12,28.181026,"tan(tan(tan(x + -12.681475)) + -5.7859764) - tan(tan(x))"
13,27.7125,"tan(tan(tan(x + -12.681474)) + -5.7859745) - exp(x / 0.44305617)"
14,24.617725,"tan(tan(tan(x + -12.681474)) + -5.7859745) - exp(tan(x) / 0.44305617)"
15,22.666927,"(tan(tan(tan(x + -12.681475)) + -5.785975) + 1.5097209) - exp(x / 0.37240267)"
16,20.063759,"(2.7132328 + tan(tan(tan(x + -12.681474)) + -5.7859745)) - exp(tan(0.37240285 + x))"
18,19.003656,"((tan(tan(tan(x + -12.681475)) + -5.785974) - exp(tan(x + 0.37240264))) + 3.0194416) - 0.20261382"
