Complexity,Loss,Equation
1,38.588245,"-1.0413963"
3,36.627815,"x / -0.33004427"
4,17.434782,"tan(x * 2.0341651)"
5,14.758015,"-0.76784945 / (x + -0.76784945)"
6,13.513545,"tan((x + 1.2393771) * x)"
7,11.803836,"(-0.76879084 / (x + -0.76879084)) * x"
9,11.274351,"-0.2613696 - (x * (x / (x + -0.76784945)))"
11,10.263815,"(tan(tan(cos(exp(x) * 1.3780259))) * x) + 1.0613651"
12,10.19763,"cos(x) + (tan(tan(cos(exp(x) * 1.377951))) * x)"
13,9.827393,"(tan(tan(cos(exp(x) * 1.3777189))) * x) - (-0.24344546 / x)"
14,7.818866,"(x * tan(tan(cos(exp(x) * 1.3778543)))) + exp(0.103687935 / x)"
15,7.817268,"exp(0.103687935 / sin(x)) + (x * tan(tan(cos(exp(x) * 1.3778543))))"
16,7.4689093,"(tan(0.06638921 / x) + 0.891586) + (x * tan(tan(cos(exp(x) * 1.3772897))))"
17,7.435296,"(x * tan(tan(cos(exp(x) * 1.3772897)))) + (tan(0.06638921 / x) + cos(x))"
20,7.3561254,"x * (((-7.4959273 - tan(-0.43190452 - (x * x))) * exp(x)) - (tan(-0.8226756 - x) - 3.9228175))"
