Complexity,Loss,Equation
1,69.13685,"-0.5141305"
3,66.54086,"x * -3.0505886"
4,48.700657,"tan(0.032451972 ^ x)"
5,39.46268,"tan(tan(x) * 1.491237)"
6,38.283085,"tan(x * -47.31484) * x"
7,34.85771,"tan(x * -47.31484) * sin(x)"
8,33.31592,"(x * tan(x * -47.314835)) * 0.7291648"
9,24.447107,"(sin(tan(235.4245 / x)) * x) * 18.916603"
10,21.604168,"(tan(x) * sin(tan(235.4245 / x))) * 15.068519"
11,16.941349,"tan(tan(x)) * (sin(tan(-11.564802 / x)) * 10.233578)"
12,14.078302,"(sin(tan(-11.564847 / x)) * tan(x * 1.619578)) * 4.5703797"
13,13.541365,"(sin(tan(-11.564859 / x)) * 10.352668) * (tan(tan(x)) - 0.26283193)"
14,10.990678,"(tan(x * 1.6200479) - 0.55775994) * (sin(tan(-11.564855 / x)) * 4.5704756)"
15,10.950079,"sin(sin(tan(-11.5648575 / x))) * ((tan(x * 1.6103928) - 0.5310916) * 5.2201347)"
16,9.427179,"((sin(tan(-11.564859 / x)) * 10.352668) - exp(x)) * (tan(tan(x)) - 0.2855836)"
17,8.795889,"((sin(tan(-11.564859 / x)) * 10.352668) - exp(tan(x))) * (tan(tan(x)) - 0.31533524)"
18,8.298175,"((sin(sin(tan(-11.564859 / x))) * 10.352668) - exp(tan(x))) * (tan(tan(x)) - 0.33541903)"
20,8.045836,"(((sin(sin(tan(-11.564859 / x))) * 10.352668) - exp(tan(x))) * (tan(tan(x)) - 0.31700537)) + 0.5167445"
21,7.2875376,"(sin(tan(-11.564855 / x)) - (exp(tan(x)) * 0.16272013)) * ((tan(tan(x)) * 11.3077345) - exp(exp(x)))"
23,6.74281,"(((tan(tan(x)) * 11.3215) - exp(exp(x))) * (sin(tan(-11.564868 / x)) - (exp(tan(x)) * 0.17352834))) + x"
24,6.6734943,"tan(x) + (((tan(tan(x)) * 11.307825) - exp(exp(x))) * (sin(tan(-11.564859 / x)) - (exp(tan(x)) * 0.18336597)))"
25,6.5722165,"(x + x) + ((sin(tan(-11.564855 / x)) - (exp(tan(x)) * 0.18971477)) * ((tan(tan(x)) * 11.296759) - exp(exp(x))))"
