Complexity,Loss,Equation
1,41.00083,"0.0780001"
3,34.145176,"0.037671074 ^ x"
4,33.6647,"tan(x * 296.58563)"
5,31.713772,"tan(2.1041288 ^ exp(x))"
6,18.806936,"tan(-0.55479974 - (-272.4156 * x))"
8,18.046457,"tan(-0.5526352 - (x * -272.42145)) - x"
9,17.979982,"tan(-0.5526352 - (x * -272.42145)) - tan(x)"
10,15.53804,"(0.052745245 ^ x) - tan((x * -272.44427) - -0.5673066)"
11,15.111318,"tan(-0.565454 - (-272.44058 * x)) - tan(-0.72207814 + x)"
12,13.953096,"tan(-0.55479974 - (x * -272.4156)) - tan(tan(-0.6197287 + x))"
13,13.897675,"tan(-0.55479974 - (x * -272.4156)) - tan(tan(sin(-0.782234) + x))"
14,11.594268,"tan(-0.556178 - (x * -272.43063)) - tan(tan((x + x) + -0.6267115))"
16,11.332286,"tan(-0.5574813 - (x * -272.43515)) - (tan(tan((x + x) + 2.5104923)) * 0.82838017)"
17,11.10583,"(2.7285042 * (tan(cos(-228.98616 * tan(x))) - x)) - tan((-272.45392 * x) - -0.57842255)"
18,9.016985,"((0.045600798 ^ x) + (cos(tan(x) * -229.00299) * 4.137376)) - tan((-272.44058 * x) - -0.5773338)"
20,7.820403,"(0.045600798 ^ x) + ((cos(tan(x) * -229.00299) * 4.137376) - (tan((-272.44058 * x) - -0.5773338) - -1.1388997))"
22,7.805219,"(((4.137376 * cos(tan(x) * -229.00299)) + (0.045600798 ^ x)) - (tan((-272.44058 * x) - -0.5773338) - -1.1388997)) / 0.984757"
25,7.7977467,"((((0.05135382 ^ x) + (tan(cos(tan(x) * -228.98616)) * 3.1210845)) - cos(tan(x))) - tan((-272.45392 * x) - -0.57842255)) - x"
